legacy_url,category,name,subject,description,trigger,email_source,email_from
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Email-Confirmation.html,Sign Up,Email Confirmation,Email Confirmation,Includes a PIN code customer is expected to input to confirm this email.,Triggered during the buy flow to verify email address.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/sms-confirmation.txt,Sign Up,SMS Confirmation,,Includes a PIN code customer is expected to input to confirm mobile number.,Triggered during the buy flow to verify mobile number.,View Source,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Welcome-to-magicJack-Hardware.html,Sign Up,Welcome (HW),Welcome to magicJack,Welcome email after successful sign up to service when devices have been ordered. Include TOS as attachment.,Triggered after successful sign up to service.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Welcome-to-magicJack-No-Hardware.html,Sign Up,Welcome (no HW),Welcome to magicJack,Welcome email after successful sign up to service when NO devices ordered. We don't have mobile only so this is not sent today.,Triggered after successful sign up to service for mobile only.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Email-Admin-Password-Welcome.html,Sign Up,Admin Password,Temporary password for magicJack Admin Zone,Includes a random password generated for the account admin to allow portal mobile access (auth0).,Sent when an Agent makes an order from Salesforce.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Email-E911-Disclosure.html,Sign Up,E911 Disclosure,E911 Address Confirmation for magicJack for BUSINESS and E911 Disclosure,Sent along side welcome emails. Include current e911 address on file + e911 disclosure as PDF.,Triggered after successful sign up to service.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Netx-Email-Template.html,Sign Up,Order shipped,Your order has shipped!,Sent when devices are being shipped out from NETXUSA.,Sent when devices are being shipped out from NETXUSA.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/User-Extension-Password-Welcome.html,Sign Up,User (Extension) Password Welcome,Welcome to magicJack,Sent when admin assigns a new user to a line.,Sent when admin or agent assigns a new user to a line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/e911-address-missing.html,Service Updates,E911 Address Missing,"E911 Address is missing, Please read E911 Disclosure",Mainly for legacy customers. This is sent in case some modification was performed on a line we don't have an E911 address for.,Sent when system detect E911 missing for a line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/E911-Address-Update.html,Service Updates,E911 Update,E911 Address Update notification for magicJack for BUSINESS,This email confirms the E911 address update.,Sent every time an admin or user updates an e911 address on a line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Telephone-Number-Update-Ext.html,Service Updates,Telephone Number Update (Ext),Telephone Number Update for magicJack for BUSINESS,Confirms a telephone number update.,Sent when a customer care agent uses SFDC to update a Telephone Number on an ext. line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Telephone-Number-Update-AA.html,Service Updates,Telephone Number Update (AA),Telephone Number Update for magicJack for BUSINESS,Confirms a telephone number update.,Sent when a customer care agent uses SFDC to update a Telephone Number on an Auto Attendant line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/Telephone-Number-Update-VF.html,Service Updates,Telephone Number Update (Fax),Telephone Number Update for magicJack for BUSINESS,Confirms a telephone number update.,Sent when a customer care agent uses SFDC to update a Telephone Number on an Fax line.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/MJB_Emails/International-Calls-Enabled.html,Service Updates,International Calls Enable,International Call Enable for magicJack for BUSINESS,This Email Confirms that International Calls are Enabled,Sent when a customer care agent uses SFDC to enable international calls.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/mautic/portout/accepted.html,Service Updates,Transfer Request Accepted,Transfer Request Received,This email states that the portout request has been accepted.,Sent when the portout request has been accepted.,Dev Sta Production,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/auth0/change_password.html,Account Security,Change Password,magicJack for BUSINESS - Password Change Request,Allows a user to reset their password.,"Sent when a user presses ""Forgot Password"" from Desktop App, Web Portal or Mobile Apps.",View Source,FROM: noreply@magicjack.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/napi/sent.html,Account Notifications,Sent Fax,magicJack for BUSINESS - Fax Sent,Notification to alert users that their fax was sent successfully.,,,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/napi/received.html,Account Notifications,Received Fax,magicJack for BUSINESS - Fax Received,Notification to alert users that they have received a new fax.,,,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/napi/unsuccessful.html,Account Notifications,Unsuccessful Fax,magicJack for BUSINESS - Fax Unsuccessful,Notification to alert users that their fax was not sent.,,,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/napi/unknown.html,Account Notifications,Unknown Sender,magicJack for BUSINESS - Unknown Sender,Notification to alert users that we were not able to locate the email account they're trying to fax from for the fax service.,,,FROM: noreply@magicjackforbusiness.com via Amazon SES
https://mjb-emails.s3.amazonaws.com/napi/voicemail.html,Account Notifications,Voicemail,magicJack for BUSINESS - New Voicemail,Notification to alert users that they have received a new voicemail.,,,FROM: DoNotReply@magicjackforbusiness.com via Amazon SES
